nom site;Polluant;valeur brute;Latitude;Longitude
Base loisirs Poses;PM10;12.874343640606762;49.30487;1.214367
Dieppe prox-auto;PM10;25.141464273143423;49.918007;1.073972
Rouen Proxi Quai de Paris;PM10;21.246084649982702;49.436699;1.098838
Petit-Quevilly Sud 3;PM10;26.0938495268867;49.4341639;1.067052778
Dijon Péjoces;PM10;16.379199161913643;47.307368;5.065881
Morvan;PM10;11.031720297029683;47.274762;4.099476
Dijon Trémouille;PM10;13.437690657769307;47.325744;5.041056
Sens;PM10;14.674729871035241;48.200436;3.2773
Nevers;PM10;12.149012958701737;46.996828;3.171092
Auxerre;PM10;15.226674432149085;47.800575;3.576189
Nuits-Saint-Georges;PM10;14.903771191327404;47.137231;4.950573
ROUSSILLON;PM10;18.11726822363762;45.36782;4.805147
Bourgoin-Jallieu;PM10;15.390857290857301;45.60822;5.270872
A7 Nord-Isère;PM10;15.856383773021408;45.35327;4.804847
Harnes Serres;PM10;20.304973404255232;50.44914;2.9
St-Laurent-Blangy;PM10;19.61863461776733;50.30886;2.807369
Bethune Stade;PM10;17.882468294974135;50.535385;2.635692
Noeux-les-Mines;PM10;18.266593433418837;50.48972;2.66642
Lens Varsovie;PM10;20.79968575917723;50.428604;2.836111
ROANNE;PM10;13.679283947709314;46.04111;4.074656
SAINT ETIENNE SUD;PM10;12.965583592579764;45.42009;4.395422
SAINT-CHAMOND;PM10;12.502122865275124;45.475327;4.515003
RIVE DE GIER;PM10;14.806194375222526;45.533424;4.623939
LA TALAUDIERE;PM10;16.301541720607222;45.481777;4.429667
ST ETIENNE BD URBAIN;PM10;18.569461749314744;45.4479806;4.388763889
Epinal;PM10;11.025402806652863;48.17278;6.452811
Bar Le Duc;PM10;14.492344853214382;48.77586;5.162789
Fléville;PM10;17.43800096571701;48.621502;6.194922
Frolois;PM10;17.454843657817065;48.565445;6.129578
Vittel;PM10;14.881032112957596;48.19361;5.937222
Neuves-Maisons;PM10;19.735193577625292;48.614914;6.107672
Heming;PM10;18.336382820258166;48.694725;6.965275
Jonville en Woevre;PM10;17.596519632840423;49.06583;5.785556
Nancy-Charles III;PM10;16.087280754086567;48.68817;6.190431
GRAND PARC;PM10;17.45802919708022;44.86139;-0.579444
