Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;discriminant;Réglementaire;type d'évaluation;procédure de mesure;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05084;NDGravenchon Pasteur;Urbaine;NO2;Industrielle;;Oui;mesures fixes;;Moy. annuelle;11.0;11.240393863063863;µg-m3;100.0;100;100.0;R;1;49.493332;0.571853
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO NORMANDIE;FR28ZRE01;ZR NORMANDIE;FR05087;Maison Parc Brotonne;Rurale régionale;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;8.0;8.467590543845319;µg-m3;99.0;99;98.0;R;1;49.498295;0.758833
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05089;Le Havre Lafaurie-montant;Urbaine;NO2;Trafic;1;Oui;mesures fixes;;Moy. annuelle;33.0;32.92643182083266;µg-m3;98.0;100;98.0;R;1;49.500187;0.110903
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05090;Le Havre ville-haute;Urbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;12.0;12.490315420560734;µg-m3;98.0;100;98.0;R;1;49.514686;0.100645
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG01;ZAG BLDV;FR06001;Valenciennes Acacias;Urbaine;NO2;Fond;A;Oui;mesures fixes;;Moy. annuelle;17.0;17.384362680683246;µg-m3;96.0;100;96.0;R;1;50.35853;3.50804
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG01;ZAG BLDV;FR06003;Douai Theuriet;Urbaine;NO2;Fond;A;Oui;mesures fixes;;Moy. annuelle;16.0;15.93485292394241;µg-m3;97.0;100;97.0;R;1;50.37822;3.06586
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG01;ZAG BLDV;FR06006;Valenciennes Wallon;Urbaine;NO2;Trafic;A;Oui;mesures fixes;;Moy. annuelle;31.0;31.49734360472832;µg-m3;86.0;100;86.0;R;1;50.36425;3.52273
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO HAUTS DE FRANCE;FR32ZRE01;ZR HAUTS-DE-FRANCE;FR06007;Maubeuge Joyeuse;Urbaine;NO2;Fond;A;Oui;mesures fixes;;Moy. annuelle;13.0;13.015170278637758;µg-m3;100.0;100;100.0;R;1;50.27936;3.97691
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG01;ZAG BLDV;FR06011;Denain Villars;Périurbaine;NO2;Fond;A;Oui;mesures fixes;;Moy. annuelle;16.0;16.09474442044636;µg-m3;63.0;100;63.0;N;-1;50.32276;3.39593
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO HAUTS DE FRANCE;FR32ZRE01;ZR HAUTS-DE-FRANCE;FR06133;Cartignies;Rurale près des villes;NO2;Fond;1;Oui;mesures fixes;;Moy. annuelle;6.0;6.137236477532837;µg-m3;98.0;97;95.0;R;1;50.09225;3.85003
